ID,Model ,Sentence 
1,B,Find the footing at Level 1. 
2,B,Get all windows placed in Basic Wall:Exterior – Brick on Mtl. Stud: 139883. 
3,B,Select the space called CMDR OFFICE located at Level 1. 
4,B,Select all doors that are contained in Basic Wall:Interior – Partition (92mm Stud):171083 
5,B,Find all spaces connected with the corridor and contained in the first story. 
6,B,Get all beams whose span is longer than 10 meters at Level 1. 
7,B,Select the stair that contains Stair:Concrete Pan – 180mm Max Riser 280mm Tread:235743:1. 
8,B,Return all railings in the Stair:Concrete Pan – 180mm Max Riser 280mm Tread:235743. 
9,B,Find all walls that Structural Usage = 0 at the second floor.  
10,B,Find the space next to S-7 STORAGE and MECH RM. 
11,B,Get the space which is bounded by Basic Wall:Interior – Partition (92mm Stud):232931 and Basic Wall:Interior – Partition (92mm Stud):171159 
12,B,Get all ceiling coverings with TotalThickness equal to 0.052. 
13,B,Select the railing with Length larger than 7 meters. 
14,B,Select all stairs on the first floor. 
15,B,Get spaces bounded by Basic Wall:Interior - Partition (92mm Stud):173045 
16,B,Find all doors with Width equal to 1.83 at Level 1. 
17,B,Select all walls with dimension of Metal – Stud Layer greater than 0.03. 
18,B,Please select the element with the type Basic Wall:Exterior - Brick on Mtl. Stud:397. 
19,B,Please tell me the height of the cladding coverings on the 2nd floor?  
20,B,Find the space next to 222 and 219. 
21,B,Select all beams on the second level 
22,B,Find all platform slabs of the stair 233637. 
23,B,Return all the space boundaries of the space 101 
24,B,Show small openings whose area is less than 1 m2 
25,B,Are there load bearing roofs? 
26,B,Find walls whose thickness is at least 400mm 
27,B,Find all brick walls 
28,B,What are the inner construction materials of the wall 139883 
29,B,Find windows whose sill height is larger than 1.5m 
30,B,Find the room that has biggest area 
31,B,Find the surrounding building elements of the space 101 
32,B,Find external doors whose height is less than 1800 mm 
33,B,Find windows in level 2 and with a height no smaller than 500mm  
34,B,Find all brick and concrete walls in the 2nd storey 
35,B,Select all exterior double doors in the first level 
36,B,Please select the element with tag 152032.   
37,B,Find the walls in the MECH RM. 
38,B,The Space next to the space 201 
39,B,Find the space boundaries of the WOMENS RR 
40,B,The base offset of the space 101  
41,B,Return the GSA BIM Area of 205 
42,B,Find all masonry brick walls 
43,B,Return all stairs with tread thickness equal to 50mm 
44,B,Return all stairs with actual riser height greater than 175mm 
45,B,Return all stairs with actual number of risers greater than 16 
46,B,Return the limit offset of space 201. 
47,B,The space with volume > 70 and area < 30 . Spaces should be located at level 1. 
48,B,Get slabs that are roof. 
49,B,Show walls with material of plasterboard. 
50,B, Walls with plasterborad layer < 0.16 and Metal Stud layer > 0.15.  
51,B,The exterior windows at the first level. The exterior windows with height larger than 2.0m 
52,B,The beams located at the level 2. The beams with W=0.44. 
53,B,The spaces next to the space 102. The windows in that spaces. 
54,B,The spaces with area smaller than 20 m2.The spaces has external wall. The exterior door in the spaces 
55,B,The spaces on the second floor . The spaces that are MECH RM . The height of a door in the spaces . 
56,B,Select the building storey with elevation higher than the elevation of Level 1 and less than the elevation of Roof . 
57,B,Select the non external walls at level 1 and containing the window that has type of 0915 x 2134mm. 
58,B,Is there any non bearing slab from Compound Ceiling:Gypsum Board and placed in second story or third story? 
59,B,Is there any cladding coverings whose offset from level > 2.5 and contained in 2nd floor or 3rd floor? 
60,B,Is there any Floor:127mm Slab on Grade slabs that are placed in second story and not room bounding and have thickness of 0.127? 
61,B,List landing slab whose height offset from level > 0.1 and locate at 1st floor or 2nd floor ? 
62,B,Return all M_Footing-Rectangular:3300 x 3740 x 300mm footings with length > 50 and width <1 and stay at T/FDN. 
63,B,Return spaces that have GSA BIM Area < 7 square meter or have area less than area of OPS SGT . 
64,B,Spaces at the Level 2 and have a GSA BIM Area larger than the largest area of spaces at the Level 1 . 
65,B,Return columns and walls at level 1 or level 2 that have height > 4 meters. 
66,B,"Find flooring coverings with total thickness of less than 0.06, and area of more than 55, and height offset from level of more than 0.5 ." 
67,B,Stairs consists of stair flights with walking line offset of less than 0.3 or number of risers of more than 12. Stairs composed of landing slabs . 
68,B,Find stairs whose railings has a height larger than tread length of the stair flight. The stair flight belongs to the stair.   
69,B,"Select non structural walls that have the least length, and form boundary of CONFERENCE RM or ENTRY. " 
70,B,The coverings whose height offseet from level is less than the maximum unconnected height of walls at first floor . The coverings should also be placed the first floor.  
71,B,The room has a category code of 13-852111 and contain stairs equiped with railings. The height of railings are higher than 1.5 meter. 
72,B,The room of which the GSA BIM Area is less than GSA BIM Area of room S101 . The limit offset of the room is not less than 2 meters.  
73,B,Window and doors in the space with smallest perimeter and located at Level 2 . Doors should be double swing left.  
74,B,Find all stairs whose level has elevation lower than elevation of T/FDN. The actual number of risers of stairs should be less than 25.0 . 
75,B,wall and door are placed in the level with the highest elevation. The door should have head height > 2.0 or trim width < 0.076. 
1,C,Find all the load bearing beams with slope = 0. 
2,C,All the doors at ground floor.  
3,C,Find all the windows located at the first floor 
4,C,Columns at Existing Garage - Roof Level. 
5,C,The windows with height larger than 6 
6,C,The external windows placed at Existing Garage - 3rd Level 
7,C,Find the doors made of Door - H.M.Panel and located at first floor.  
